"ï»¿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
NR2GAKW3,journalArticle,2015,"Adamopoulou, Anna A.; Tryferidis, Athanasios M.; Tzovaras, Dimitrios K.",A context-aware method for building occupancy prediction,Energy and Buildings,,0378-7788,10.1016/j.enbuild.2015.10.003,http://www.sciencedirect.com/science/article/pii/S0378778815303212,"In this paper a building occupancy prediction method is presented, which is based on the spatio-temporal analysis of historical data (occupancy modelling) and further relies heavily on current contextual information, being therefore suitable for providing real-time prediction. Two different algorithmic approaches are proposed, based on Markov models, revealing how context awareness adds the capability of rapidly adjusting to current conditions and capturing unexpected events, as opposed to capturing only typical occupancy fluctuation expected on a regular basis. Both proposed approaches are evaluated against accurate real-life data collected from a tertiary building, achieving notable results which outperform currently used methods.",2015,13/10/15 08:30,15/10/15 06:10,13/10/15 08:30,,,,,,Energy and Buildings,,,,,,,,,,,,,ScienceDirect,,,"<div title=""Page 2""> <div> <div> <div> <p>In this paper a building occupancy prediction method is presented, which is based on the spatio- temporal analysis of historical data (occupancy modelling) and further relies heavily on current contextual information, being therefore suitable for providing real-time prediction. Two different algorithmic approaches are proposed, based on Markov models, revealing how context awareness adds the capability of rapidly adjusting to current conditions and capturing unexpected events, as opposed to capturing only typical occupancy fluctuation expected on a regular basis. Both proposed approaches are evaluated against accurate real-life data collected from a tertiary building, achieving notable results which outperform currently used methods.</p> </div> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QVMB8VPG/Adamopoulou et al. - A context-aware method for building occupancy pred.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/8PKD5GA5/S0378778815303212.html,,BuildingEnergyAnalysis; MarkovModel; OccupancyDetection; Operations; RuleExtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36TB79K,conferencePaper,2009,"Agarwal, Yuvraj; Weng, Thomas; Gupta, Rajesh K.",The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2009),978-1-60558-824-7,,10.1145/1810279.1810292,http://portal.acm.org/citation.cfm?doid=1810279.1810292,,"November 3, 2009",22/09/15 08:12,07/10/15 09:28,22/09/15 08:12,55,,,,,,The energy dashboard,,,,,ACM Press,"Berkeley, CA, USA",en,,,,,CrossRef,,,"<p>The energy dashboard: improving the visibility of energy consumption at a campus-wide scale</p> <div title=""Page 1""> <div> <div> <p>In particular, we focus on â€˜mixed-useâ€™ build- ings where the energy consumption of IT equipment ac- counts for more than a quarter of the total energy use. Our detailed observations identify the primary components of the baseline energy use and the sources of peaks in energy con- sumption.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/A3JMB5T3/p55-agarwal.pdf,,Characterization; ComputerScience; EnergyInformationSystem; PortfolioAnalysis; VisualAnalytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),,,,,,,,,,,,,,,
V3JX3NRN,journalArticle,2014,"Alzghoul, Ahmad; Backe, BjÃ¶rn; LÃ¶fstrand, Magnus; BystrÃ¶m, Arne; Liljedahl, Bengt",Comparing a knowledge-based and a data-driven method in querying data streams for system fault detection: A hydraulic drive system application,Computers in Industry,,0166-3615,10.1016/j.compind.2014.06.003,http://www.sciencedirect.com/science/article/pii/S0166361514001250,"The field of fault detection and diagnosis has been the subject of considerable interest in industry. Fault detection may increase the availability of products, thereby improving their quality. Fault detection and diagnosis methods can be classified in three categories: data-driven, analytically based, and knowledge-based methods. In this work, we investigated the ability and the performance of applying two fault detection methods to query data streams produced from hydraulic drive systems. A knowledge-based method was compared to a data-driven method. A fault detection system based on a data stream management system (DSMS) was developed in order to test and compare the two methods using data from real hydraulic drive systems. The knowledge-based method was based on causal models (fault trees), and principal component analysis (PCA) was used to build the data-driven model. The performance of the methods in terms of accuracy and speed, was examined using normal and physically simulated fault data. The results show that both methods generate queries fast enough to query the data streams online, with a similar level of fault detection accuracy. The industrial applications of both methods include monitoring of individual industrial mechanical systems as well as fleets of such systems. One can conclude that both methods may be used to increase industrial system availability.",Oct-14,13/10/15 08:49,13/10/15 08:49,13/10/15 08:49,1126-1135,,8,65,,Computers in Industry,Comparing a knowledge-based and a data-driven method in querying data streams for system fault detection,,,,,,,,,,,,ScienceDirect,,,"<div title=""Page 1""> <div> <div> <p>In this work, we investigated the ability and the performance of applying two fault detection methods to query data streams produced from hydraulic drive systems. A knowledge-based method was compared to a data-driven method. A fault detection system based on a data stream management system (DSMS) was developed in order to test and compare the two methods using data from real hydraulic drive systems.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/ZX4633WG/Alzghoul et al. - 2014 - Comparing a knowledge-based and a data-driven meth.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/65ZV5TT9/S0166361514001250.html,,AnomalyDetection; Component; ComputerScience; NoveltyDetection; PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNIX6F9N,conferencePaper,2012,"An, Lianjun; Horesh, Raya; Chae, Young Tae; Lee, Young M",Estimation of Thermal Parameters of Buildings Through Inverse Modeling and Clustering for a Portfolio of Buildings,Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012),,,,http://www.ibpsa.us/simbuild2012/Papers/SB12_TS05a_4_An.pdf,,"August 1, 2012",18/09/15 08:04,07/10/15 09:27,,,,,,,,,,,,,,"Madison, WI, USA",,,,,,,,,"<div title=""Page 1""> <div> <div> <p>Firstly, we de- rived a static heat transfer model from a system of dy- namic equations by integrating the equations for differ- ent time periods. The model links monthly energy us- age with cooling and heating loads, and latent heat loads. Secondly, temporal data from a building was used to es- timate the overall heat transfer parameters. Thirdly, a clustering scheme was developed to segment all buildings in the portfolio into different clusters based on similar- ity criteria</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/VQR39RDS/Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012) 2011 An.pdf,,BuildingSimulation; Characterization; Clustering; K-Means; PortfolioAnalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Conference of IBPSA-USA (SimBuild),,,,,,,,,,,,,,,
WFFIMRXF,journalArticle,2011,"Augello, Agnese; Ortolani, Marco; Re, G Lo; Gaglio, Salvatore",Sensor mining for user behavior profiling in intelligent environments,Advances in Distributed Agent-Based Retrieval Tools,,3642213839,,http://link.springer.com/chapter/10.1007/978-3-642-21384-7_10,,"January 1, 2011",18/09/15 08:04,18/09/15 08:04,,143-158,,,,,,,,,,,,,,,,,,,,,"<p>The proposed system exploits sensor mining methodologies to profile user behaviors patterns in an intelligent workplace. The work is based in the as- sumption that usersâ€™ habit profiles are implicitly described by sensory data, which explicitly show the consequences of usersâ€™ actions over the environment state. Sen- sor data are analyzed in order to infer relationships of interest between environ- mental variables and the user, detecting in this way behavior profiles.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/PBE92S8C/2011 Augello.pdf,,Clustering; ComputerScience; MultipleTechniques; OccupancyDetection; Operations; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3BWEEBV,conferencePaper,2011,"Bellala, Gowtham; Marwah, Manish; Arlitt, Martin; Lyon, Geoff; Bash, Cullen E",Towards an understanding of campus-scale power consumption,Proceedings of the Third ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2011),978-1-4503-0749-9,,10.1145/2434020.2434043,http://dl.acm.org/citation.cfm?doid=2434020.2434043,"Commercial buildings are significant consumers of electricity. In this paper, we collect and analyze six weeks of data from 39 power meters in three buildings of a campus of a large company. We use an unsupervised anomaly detection technique based on","November 1, 2011",18/09/15 08:04,07/10/15 09:27,,73,,,,,,,,,,,ACM  Request Permissions,"Seattle, WA, USA",,,,,,,,,"<p>In this paper, we collect and analyze six weeks of data from 39 power meters in three buildings of a campus of a large company. We use an unsupervised anomaly detection technique based on a low-dimensional embedding to identify power saving opportunities.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/8KCQQIBI/109EAA70-A519-4DDF-8FAC-7D263203DCCF.pdf,,ComputerScience; MarkovModel; NoveltyDetection; PortfolioAnalysis; Targeting; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),,,,,,,,,,,,,,,
ZRHV3RG3,conferencePaper,2010,"Bidoki, S M; Mahmoudi-Kohan, N; Sadreddini, M H; Zolghadri Jahromi, M; Moghaddam, M P",Evaluating different clustering techniques for electricity customer classification,"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",1-4244-6546-X,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5484234,,"April 19, 2010",18/09/15 08:04,07/10/15 09:29,,01-May,,,,,,,,,,,IEEE,"New Orleans, LA, USA",,,,,,,,,"<p>Therefore, in this paper, we evaluate the performance of Classical K-Means, Weighted Fuzzy Average K- Means, Modified Follow the Leader, Self-Organizing Maps and Hierarchical algorithms that are more applicable in clustering load curves.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/7UM2T687/Transmission and Distribution Conference and Exposition 2010 IEEE PES 2010 Bidoki.pdf,,Clustering; CustomerClassification; ElectricalEngineering; MultipleTechniques; SmartMeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transmission and Distribution Conference and Exposition,,,,,,,,,,,,,,,
GK4QWTI4,journalArticle,2013,"Bogen, A C; Rashid, M; East, E W; Ross, J",Evaluating a data clustering approach for life-cycle facility control,Journal of Information Technology in Construction,,,,http://itcon.org/cgi-bin/works/Show&_id=2011managementremotesites/Show?2013_6,"SUMMARY: Data reported by sensors in building automation and control systems is critical for evaluating the as-operated performance of a facility . Typically these systems are designed to support specific control domains, but facility performance analysis requires ...","April 1, 2013",18/09/15 08:04,18/09/15 08:04,,,,,,,Journal of Information Technology in Construction,,,,,,,,,,,,,,,,<p>This article presents a computational workflow for categorizing daily resource usage according to a resolution typical of human-specified schedules.</p>,/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/NECI63ZX/Journal of Information Technology in Construction 2013 Bogen.pdf,,BuildingEnergyAnalysis; Clustering; Controls; MultipleTechniques; Operations; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKGSZE2V,thesis,2013,"Borgeson, Sam",Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes,,,,,https://www.dropbox.com/s/ppi9az3z97mxx3u/Borgeson_dissertation.pdf,"Energy efficiency (EE) and demand response (DR) programs are designed to reduce energy consumption, mitigate grid capacity constraints, support intermittent renewable energy integration, and reduce pollution for less than the cost of additional generation. However, the savings and flexibility achieved by EE and DR programs are contingent on programs finding and enrolling customers well matched to program objectives. Many EE programs currently rely on broad but shallow savings from prescriptive measures, but growing in- terest in deeper and more reliable savings is leading to increased attention for program planning and targeting using empirical criteria. Through data gathered by smart meters and software designed to manage and analyze large data sets, the tools required to cost effectively characterize, target, and change patterns of energy demand are beginning to emerge. This dissertation consists of three chapters on the analysis of meter data and one on the policy implications of these new capabilities. Chapter 2 analyzes hourly electricity and daily natural gas smart meter readings from 30,000 residential customers of Pacific Gas and Electric (PG&E). Meter data is used to derive distributions of previously unobserved characteristics of the housing stock. We show that the targeting of EE and DR programs would be improved through selection of households based on their positions within these distributions. It follows that every utility (or public utility commission) with sufficient metering infrastructure could ap- ply similar techniques to improve the targeting, implementation, and evaluation of their energy efficiency and demand response programs. Chapter 3 uses regression models of patterns in daily household electricity consumption to estimate the physical and operational characteristics of homes. We apply semi-physical regressors designed to capture patterns in the space-heating and cooling, scheduling, and occupancy of homes. When applied to data from approximately 160,000 PG&E customers, this approach supports an evaluation of competing regression model formulations and provides distributions of model coefficients used to evaluate patterns of domestic energy use, including annual and system peak coincident air conditioning loads, cooling set points, day of week scheduling, and lighting energy.",2013,07/10/15 11:12,07/10/15 11:14,,,206,,,,,,,,,,"University of California, Berkeley","Berkeley, CA, USA",,,PhD,,,,,,"<div title=""Page 3""> <div> <div> <p>This dissertation consists of three chapters on the analysis of meter data and one on the policy implications of these new capabilities.</p> <p>Chapter 2 analyzes hourly electricity and daily natural gas smart meter readings from 30,000 residential customers of Pacific Gas and Electric (PG&amp;E). Meter data is used to derive distributions of previously unobserved characteristics of the housing stock. We show that the targeting of EE and DR programs would be improved through selection of households based on their positions within these distributions. It follows that every utility (or public utility commission) with sufficient metering infrastructure could ap- ply similar techniques to improve the targeting, implementation, and evaluation of their energy efficiency and demand response programs.</p> <p>Chapter 3 uses regression models of patterns in daily household electricity consumption to estimate the physical and operational characteristics of homes. We apply semi-physical regressors designed to capture patterns in the space-heating and cooling, scheduling, and occupancy of homes. When applied to data from approximately 160,000 PG&amp;E customers, this approach supports an evaluation of competing regression model formulations and provides distributions of model coefficients used to evaluate patterns of domestic energy use, including annual and system peak coincident air conditioning loads, cooling set points, day of week scheduling, and lighting energy.</p> </div> </div> </div> <div title=""Page 4""> <div> <div> <p>Chapter 4 presents a method for estimating the hourly timing of occupant driven loads based on smart meter data. The residuals of a predictive regression model are assumed to include occupant activities because occupant controlled energy use is not fully determined by externally observable factors. Occupant activity timing is converted into empirical distributions of the probability of such events by hour-of-day or day-of-week. With estimates calculated for approximately 25,000 PG&amp;E customers and grouped using K-means clustering, prevailing patterns are interpreted as the result of occupant lifestyles â€” with applications in efficiency and demand response program targeting.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QGUW8RBE/Borgeson_dissertation.pdf,,BuildingEnergyAnalysis; Clustering; CustomerClassification; MultipleTechniques; SmartMeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8WPRJIBU,journalArticle,2013,"Cabrera, David F Motta; Zareipour, Hamidreza",Data association mining for identifying lighting energy waste patterns in educational institutes,Energy and Buildings,,,10.1016/j.enbuild.2013.02.049,http://dx.doi.org/10.1016/j.enbuild.2013.02.049,"Energy & Buildings, 62 (2013) 210-216. doi:10.1016/j.enbuild.2013.02.049","July 1, 2013",18/09/15 08:04,01/10/15 09:30,,210-216,,,62,,Energy and Buildings,,,,,,,,,,,,,,,,"<p>Data association mining for identifying lighting energy waste patterns in educational institutes</p> <div title=""Page 1""> <div> <div> <p>Data association mining, a powerful data mining tool, is applied to the data in order to extract association rules and explore lighting waste patterns.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QM3ZA4PI/Energy and Buildings 2013 Cabrera.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/RG3DACD3/Motta Cabrera and Zareipour - 2013 - Data association mining for identifying lighting e.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/PJ266M4G/S0378778813001436.html,,BuildingEnergyAnalysis; DataAssociationRules; PortfolioAnalysis; RuleExtraction; Targeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
