,Title,Publication Title,Conference Name,PublicationType,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
16,Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids,Proceedings of the IEEE,,IEEE Transactions (Journal),"Schlueter, A.; Geyer, P.; Cisar, S.",journalArticle,2016,Building Energy Analysis,PortfolioAnalysis,Clustering,Fuzzy Clustering,Targeting,Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids,schlueter_analysis_2016
22,Application of clustering for the development of retrofit strategies for large building stocks,Advanced Engineering Informatics,,Other Building Sci. Journal,"Geyer, Philipp; SchlÌ_ter, Arno; Cisar, Sasha",journalArticle,2016,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,Targeting,Application of clustering for the development of retrofit strategies for large building stocks,geyer_application_2016
36,Correlation between occupants and energy consumption,Energy and Buildings,,Energy and Buildings (Journal),"Ahn, Ki-Uhn; Park, Cheol-Soo",journalArticle,2016,Building Energy Analysis,Operations,Rule Extraction,Wavelets,Occupancy Detection,Correlation between occupants and energy consumption,ahn_correlation_2016
105,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,Energy Policy,,Other Elec. Engineering Journal,"Jang, Dongsik; Eom, Jiyong; Jae Park, Min; Jeung Rho, Jae",journalArticle,2016,Building Energy Analysis,SmartMeter,Clustering,K-Means,Classification,Variability of electricity load patterns and its effect on demand response: A critical peak pricing experiment on Korean commercial and industrial customers,jang_variability_2016
4,A framework for knowledge discovery in massive building automation data and its application in building diagnostics,Automation in Construction,,Automation in Construction (Journal),"Fan, Cheng; Xiao, Fu; Yan, Chengchu",journalArticle,2015,Building Energy Analysis,AnomalyDetection,Novelty Detection,Data Assocation Rules (DAR),Whole Building,A framework for knowledge discovery in massive building automation data and its application in building diagnostics,fan\_framework\_2015
18,Automated daily pattern filtering of measured building performance data,Automation in Construction,,Automation in Construction (Journal),"Miller, Clayton; Nagy, Zoltíçn; Schlueter, Arno",journalArticle,2015,Building Energy Analysis,PortfolioAnalysis,Motif Detection,Symbolic Aggregate Approximation (SAX),Characterization,Automated daily pattern filtering of measured building performance data,miller\_automated\_2015
3,A context-aware method for building occupancy prediction,Energy and Buildings,,Energy and Buildings (Journal),"Adamopoulou, Anna A.; Tryferidis, Athanasios M.; Tzovaras, Dimitrios K.",journalArticle,2015,Building Energy Analysis,Operations,Rule Extraction,Markov Models,Occupancy Detection,A context-aware method for building occupancy prediction,adamopoulou\_context-aware\_2015
52,Identifying energy consumption patterns in the Attica hotel sector using cluster analysis techniques with the aim of reducing hotelsäó» CO2 footprint,Energy and Buildings,,Energy and Buildings (Journal),"Pieri, Stella Panayiota; IoannisTzouvadakis; Santamouris, Mat",journalArticle,2015,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,Classifying,,
61,Occupancy schedules learning process through a data mining framework,Energy and Buildings,,Energy and Buildings (Journal),"Däó»Oca, Simona; Hong, Tianzhen",journalArticle,2015,Building Energy Analysis,Operations,Rule Extraction,Multiple Techniques,Occupancy Detection,Occupancy schedules learning process through a data mining framework,doca\_occupancy\_2015
82,Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,Energy and Buildings,,Energy and Buildings (Journal),"Fan, Cheng; Xiao, Fu; Madsen, Henrik; Wang, Dan",journalArticle,2015,Building Energy Analysis,Operations,Rule Extraction,Data Assocation Rules (DAR),Energy Management,Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,fan\_temporal\_2015
