"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I4TWCJAN","journalArticle","2009","Chandola, Varun; Banerjee, Arindam; Kumar, Vipin","Anomaly detection: A survey","ACM computing surveys (CSUR)","","","","http://dl.acm.org/citation.cfm?id=1541882","","2009","2016-04-19 02:27:15","2016-04-19 02:27:15","2016-04-19 02:27:15","15","","3","41","","","Anomaly detection","","","","","","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/MIHVJXGI/Chandola et al. - 2009 - Anomaly detection A survey.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/CTK4Q34R/citation.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HA9ASFGC","book","2012","Duda, Richard O.; Hart, Peter E.; Stork, David G.","Pattern classification","","","","","https://books.google.com.sg/books?hl=en&lr=&id=Br33IRC3PkQC&oi=fnd&pg=PR3&dq=pattern+classification+duda&ots=2wCPIsgbDs&sig=Uq-PAZRxsyIu0Icp7zxDThyV_oU","","2012","2016-04-19 02:15:19","2016-04-19 02:15:19","2016-04-19 02:15:19","","","","","","","","","","","","John Wiley & Sons","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/V96ZSS38/books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTCWW37J","blogPost","2015","Energy Information Administration","How many smart meters are installed in the United States, and who has them?","","","","","http://www.eia.gov/tools/faqs/faq.cfm?id=108&t=3","","2015-05-01","2015-10-20 04:44:03","2015-10-20 04:44:58","2015-10-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DS77FFR","book","2013","James, Gareth; Witten, Daniela; Hastie, Trevor; Tibshirani, Robert","An introduction to statistical learning","","","","","http://link.springer.com/content/pdf/10.1007/978-1-4614-7138-7.pdf","","2013","2016-04-19 03:08:55","2016-04-19 03:08:55","2016-04-19 03:08:55","","","","112","","","","","","","","Springer","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/NSSGRADW/James et al. - 2013 - An introduction to statistical learning.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/FASRX6Q5/978-1-4614-7138-7.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NC6C9WWK","report","2015","James Manyika; Michael Chui; Peter Bisson; Jonathan Woetzel; Richard Dobbs; Jacques Bughin; Dan Aharon","Unlocking the potential of the Internet of Things | McKinsey & Company","","","","","http://www.mckinsey.com/insights/business_technology/The_Internet_of_Things_The_value_of_digitizing_the_physical_world","If policy makers and businesses get it right, linking the physical and digital worlds could generate up to $11.1 trillion a year in economic value by 2025. A McKinsey Global Institute article.","2015-06","2015-11-17 01:23:59","2015-12-02 00:57:52","2015-11-17 01:23:59","","","","","","","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/DZHIZEEC/The_Internet_of_Things_The_value_of_digitizing_the_physical_world.html; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/AF3NBX8V/Unlocking_the_potential_of_the_Internet_of_Things_Full_report.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RHTGAXS","journalArticle","2003","Keogh, E; Kasetty, S","On the need for time series data mining benchmarks: A survey and empirical demonstration","Data Mining and Knowledge Discovery","","","","http://link.springer.com/article/10.1023/A:1024988512476","","2003-10-01","2015-09-18 08:04:18","2015-09-18 08:04:18","","349-371","","4","7","","Data Min Knowl Disc","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/ZE4FBT68/Data Min Knowl Disc 2003 Keogh.pdf","","DataMining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W973BXFM","book","2012","Mirkin, Boris","Clustering: a data recovery approach","","","","","https://books.google.com.sg/books?hl=en&lr=&id=34-q8geA3yEC&oi=fnd&pg=PP1&dq=clustering+a+data+recovery&ots=XEGQGoSOZY&sig=lq2rKFBq1bpGKQM8gdYS9xI8hrc","","2012","2016-04-19 02:16:43","2016-04-19 02:16:43","2016-04-19 02:16:43","","","","","","","Clustering","","","","","CRC Press","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/X5M8QQ3I/books.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKUJ8VGA","journalArticle","2016","Schlueter, A.; Geyer, P.; Cisar, S.","Analysis of Georeferenced Building Data for the Identification and Evaluation of Thermal Microgrids","Proceedings of the IEEE","","0018-9219","10.1109/JPROC.2016.2526118","","Retrofitting the existing building stock is among the most important objectives and imperative to meet societal goals to reduce primary energy demand and anthropogenic greenhouse gas emissions. District heating systems have proven to supply heat for buildings both energy and cost efficiently. Thermal microgrids (TMGs) can be understood as a subcategory of district heating systems: small scale, bidirectional, and potentially fed by different thermal sources. Given a suitable combination of loads, the number of and distance between buildings, they can offer economic and environmental advantages compared to the supply by individual heating systems per building. We present a novel method using data analysis techniques on georeferenced building stock data to identify suitable configurations of buildings that yield a cost-efficient TMG. For the identification, both semantic and spatial data from a database are combined using fuzzy logics and cost-benefit analysis. We apply the method using a case study featuring a database of 306 buildings potentially to be retrofitted. As a result, we can identify nine groups of 25 buildings that would form a microgrid featuring up to 17.4% cost benefits compared to an individual heat supply. This would save approximately 30% of the building-induced CO2 emission of the community.","2016-04","2016-04-27 05:07:00","2016-04-27 05:07:00","","713-725","","4","104","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/R4NA4QRQ/abs_all.html; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/SMG2XAGJ/Schlueter et al. - 2016 - Analysis of Georeferenced Building Data for the Id.pdf","","BuildingEnergyAnalysis; Clustering; FuzzyClustering; PortfolioAnalysis; Targeting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQVDJCS6","book","2014","Senin, Pavel; Lin, Jessica; Wang, Xing; Oates, Tim; Gandhi, Sunil; Boedihardjo, Arnold P.; Chen, Crystal; Frankenstein, Susan; Lerner, Manfred","GrammarViz 2.0: a tool for grammar-based pattern discovery in time series","","","","","http://link.springer.com/chapter/10.1007/978-3-662-44845-8_37","","2014","2016-04-19 02:32:40","2016-04-19 02:32:40","2016-04-19 02:32:40","","","","","","","GrammarViz 2.0","","","","","Springer","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/D8IQPUZF/Senin et al. - 2014 - GrammarViz 2.0 a tool for grammar-based pattern d.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/JEZ2DNQ4/978-3-662-44845-8_37.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGEF7PSA","journalArticle","2012","Zhao, Hai-xiang; Magoulès, Frédéric","A review on the prediction of building energy consumption","Renewable and Sustainable Energy Reviews","","1364-0321","10.1016/j.rser.2012.02.049","http://www.sciencedirect.com/science/article/pii/S1364032112001438","The energy performance in buildings is influenced by many factors, such as ambient weather conditions, building structure and characteristics, the operation of sub-level components like lighting and HVAC systems, occupancy and their behavior. This complex situation makes it very difficult to accurately implement the prediction of building energy consumption. This paper reviews recently developed models for solving this problem, which include elaborate and simplified engineering methods, statistical methods and artificial intelligence methods. Previous research work concerning these models and relevant applications are introduced. Based on the analysis of previous work, further prospects are proposed for additional research reference.","2012-08","2016-04-27 05:48:19","2016-04-27 05:48:19","2016-04-27 05:48:19","3586-3592","","6","16","","Renewable and Sustainable Energy Reviews","","","","","","","","","","","","","ScienceDirect","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/RDMAMC8H/Zhao and Magoulès - 2012 - A review on the prediction of building energy cons.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/CNIP948Q/S1364032112001438.html","","","artificial intelligence; Building; Energy consumption; Engineering methods; Prediction; statistical models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
